Path Cost Cserna,Probability Cserna,CDF Cserna
2.44546,0.0022608,0.255418
2.44946,0.00227207,0.25769
2.45346,0.00228329,0.259973
2.45746,0.00229445,0.262268
2.46146,0.00230556,0.264573
2.46546,0.00231661,0.26689
2.46946,0.00232761,0.269218
2.47346,0.00233854,0.271556
2.47746,0.00234942,0.273906
2.48146,0.00236023,0.276266
2.48546,0.00237098,0.278637
2.48946,0.00238166,0.281018
2.49346,0.00239228,0.283411
2.49746,0.00240283,0.285814
2.50146,0.00241331,0.288227
2.50546,0.00242372,0.290651
2.50946,0.00243405,0.293085
2.51346,0.00244431,0.295529
2.51746,0.0024545,0.297983
2.52146,0.00246461,0.300448
2.52546,0.00247464,0.302923
2.52946,0.00248459,0.305407
2.53346,0.00249446,0.307902
2.53746,0.00250424,0.310406
2.54146,0.00251395,0.31292
2.54546,0.00252356,0.315443
2.54946,0.00253309,0.317977
2.55346,0.00254253,0.320519
2.55746,0.00255188,0.323071
2.56146,0.00256114,0.325632
2.56546,0.00257031,0.328202
2.56946,0.00257938,0.330782
2.57346,0.00258836,0.33337
2.57746,0.00259724,0.335967
2.58146,0.00260602,0.338573
2.58546,0.0026147,0.341188
2.58946,0.00262328,0.343811
2.59346,0.00263176,0.346443
2.59746,0.00264013,0.349083
2.60146,0.0026484,0.351732
2.60546,0.00265656,0.354388
2.60946,0.00266461,0.357053
2.61346,0.00267256,0.359725
2.61746,0.00268039,0.362406
2.62146,0.00268811,0.365094
2.62546,0.00269572,0.36779
2.62946,0.00270322,0.370493
2.63346,0.0027106,0.373203
2.63746,0.00271786,0.375921
2.64146,0.00272501,0.378646
2.64546,0.00273203,0.381378
2.64946,0.00273894,0.384117
2.65346,0.00274572,0.386863
2.65746,0.00275238,0.389615
2.66146,0.00275892,0.392374
2.66547,0.00276533,0.39514
2.66947,0.00277161,0.397911
2.67347,0.00277777,0.400689
2.67747,0.0027838,0.403473
2.68147,0.0027897,0.406262
2.68547,0.00279547,0.409058
2.68947,0.00280111,0.411859
2.69347,0.00280661,0.414666
2.69747,0.00281198,0.417478
2.70147,0.00281722,0.420295
2.70547,0.00282232,0.423117
2.70947,0.00282729,0.425945
2.71347,0.00283211,0.428777
2.71747,0.0028368,0.431613
2.72147,0.00284135,0.434455
2.72547,0.00284576,0.437301
2.72947,0.00285003,0.440151
2.73347,0.00285415,0.443005
2.73747,0.00285814,0.445863
2.74147,0.00286198,0.448725
